"Дата","Время","Площадка","Категория","Id товара"
"datetime","parsing_time","platform","category","inner_product_id"
"2020-10-24","00:00:00",1,"",202377307
"2020-10-24","00:00:00",1,"",137692984
"2020-10-31","00:00:00",1,"",173162449
"2020-10-24","00:00:00",1,"",192977139
"2021-01-29","00:00:00",1,"",225852105
"2021-02-20","00:00:00",1,"",230862713
"2020-12-03","00:00:00",1,"",211031267
"2020-11-17","00:00:00",1,"",207089383
"2021-02-14","00:00:00",1,"",154357329
"2020-11-08","00:00:00",1,"",203456851
"2020-10-24","00:00:00",1,"",178343133
"2020-11-07","00:00:00",1,"",161498790
"2020-10-29","00:00:00",1,"",201792532
"2020-10-29","00:00:00",1,"",167382142
"2021-02-12","00:00:00",1,"",192146431
"2021-01-26","00:00:00",1,"",213092772
"2021-03-01","00:00:00",1,"",196088315
"2021-01-02","00:00:00",1,"",220002585
"2021-01-13","00:00:00",1,"",221371509
"2020-10-29","00:00:00",1,"",179041526
"2021-01-20","00:00:00",1,"",223968188
"2020-10-24","00:00:00",1,"",167815483
"2021-01-29","00:00:00",1,"",225730256
"2021-02-17","00:00:00",1,"",230738784
"2020-11-19","00:00:00",1,"",164159855
"2020-11-03","00:00:00",1,"",202953833
"2020-12-17","00:00:00",1,"",217451265
"2020-10-31","00:00:00",1,"",196073862
"2021-01-20","00:00:00",1,"",215690861
"2021-01-26","00:00:00",1,"",220507171
"2021-02-04","00:00:00",1,"",170341500
"2020-11-07","00:00:00",1,"",201272181
"2020-12-28","00:00:00",1,"",217887530
"2020-10-27","00:00:00",1,"",189513413
"2020-12-01","00:00:00",1,"",207946742
"2020-10-30","00:00:00",1,"",180370656
"2020-10-24","00:00:00",1,"",179786580
"2021-01-03","00:00:00",1,"",218128059
"2020-10-24","00:00:00",1,"",170845064
"2021-02-11","00:00:00",1,"",150818513
"2020-10-30","00:00:00",1,"",198957549
"2020-11-12","00:00:00",1,"",205648238
"2020-10-30","00:00:00",1,"",176034171
"2020-10-31","00:00:00",1,"",173224983
"2020-12-02","00:00:00",1,"",182952359
"2020-10-24","00:00:00",1,"",166466551
"2020-11-20","00:00:00",1,"",208038953
"2020-10-24","00:00:00",1,"",202441629
"2020-10-30","00:00:00",1,"",189321498
"2020-12-13","00:00:00",1,"",215153049
"2020-12-04","00:00:00",1,"",190257511
"2020-11-15","00:00:00",1,"",206864696
"2020-10-27","00:00:00",1,"",199462103
"2020-10-24","00:00:00",1,"",172817514
"2021-02-13","00:00:00",1,"",227319345
"2020-12-03","00:00:00",1,"",212919931
"2020-10-31","00:00:00",1,"",154835365
"2020-10-24","00:00:00",1,"",185068436
"2020-11-21","00:00:00",1,"",183685617
"2021-01-16","00:00:00",1,"",222682142
"2020-10-24","00:00:00",1,"",147825600
"2020-10-29","00:00:00",1,"",202598276
"2020-11-13","00:00:00",1,"",205406952
"2020-10-31","00:00:00",1,"",166623214
"2020-11-20","00:00:00",1,"",198378975
"2020-11-27","00:00:00",1,"",210425688
"2020-10-30","00:00:00",1,"",170278842
"2020-11-06","00:00:00",1,"",182830526
"2020-12-24","00:00:00",1,"",217514183
"2020-11-19","00:00:00",1,"",159219481
"2020-10-31","00:00:00",1,"",198819316
"2021-03-03","00:00:00",1,"",235505906
"2020-11-29","00:00:00",1,"",204798659
"2021-02-17","00:00:00",1,"",230801574
"2020-10-31","00:00:00",1,"",183467413
"2021-02-04","00:00:00",1,"",226771459
"2021-01-29","00:00:00",1,"",221304755
"2020-10-24","00:00:00",1,"",169765504
"2021-01-26","00:00:00",1,"",225090923
"2020-10-30","00:00:00",1,"",199971045
"2020-10-24","00:00:00",1,"",187214561
"2020-10-24","00:00:00",1,"",171571143
"2021-01-26","00:00:00",1,"",224404800
"2021-02-13","00:00:00",1,"",147292146
"2021-01-16","00:00:00",1,"",221933464
"2021-02-12","00:00:00",1,"",228843332
"2020-10-31","00:00:00",1,"",184159683
"2020-10-24","00:00:00",1,"",202158073
"2020-12-27","00:00:00",1,"",216166545
"2020-11-07","00:00:00",1,"",203964236
"2020-11-21","00:00:00",1,"",207573240
"2020-12-28","00:00:00",1,"",216778056
"2021-03-01","00:00:00",1,"",226971633
"2020-12-23","00:00:00",1,"",216104291
"2020-11-30","00:00:00",1,"",190214284
"2020-10-30","00:00:00",1,"",181675357
"2020-10-24","00:00:00",1,"",169336665
"2021-01-24","00:00:00",1,"",223219166
"2020-10-30","00:00:00",1,"",182896716
"2021-01-23","00:00:00",1,"",220637719
"2021-01-19","00:00:00",1,"",223462819
"2020-10-24","00:00:00",1,"",154042392
"2021-01-23","00:00:00",1,"",218019102
"2020-11-01","00:00:00",1,"",189380849
"2020-10-24","00:00:00",1,"",166558236
"2020-10-31","00:00:00",1,"",173598167
"2020-12-23","00:00:00",1,"",218183504
"2020-12-01","00:00:00",1,"",179714751
"2021-02-12","00:00:00",1,"",228099980
"2020-11-26","00:00:00",1,"",209937025
"2020-10-31","00:00:00",1,"",184247336
"2020-11-08","00:00:00",1,"",181813572
"2021-02-28","00:00:00",1,"",232118555
"2021-03-01","00:00:00",1,"",234421367
"2020-10-31","00:00:00",1,"",169196352
"2020-10-24","00:00:00",1,"",171482668
"2020-11-08","00:00:00",1,"",203481982
"2020-11-06","00:00:00",1,"",162176160
"2020-11-18","00:00:00",1,"",207064266
"2020-10-24","00:00:00",1,"",186874657
"2020-10-31","00:00:00",1,"",172313011
"2021-01-13","00:00:00",1,"",221363800
"2020-10-31","00:00:00",1,"",139796206
"2020-11-12","00:00:00",1,"",183622659
"2020-10-29","00:00:00",1,"",182253935
"2020-12-27","00:00:00",1,"",207434977
"2020-10-29","00:00:00",1,"",167407187
"2020-12-02","00:00:00",1,"",211734245
"2020-11-06","00:00:00",1,"",204837672
"2020-11-03","00:00:00",1,"",202946116
"2020-12-28","00:00:00",1,"",217475372
"2021-01-26","00:00:00",1,"",221148709
"2020-12-14","00:00:00",1,"",167824150
"2021-01-22","00:00:00",1,"",223943057
"2020-10-24","00:00:00",1,"",170782330
"2020-10-31","00:00:00",1,"",179592870
"2020-11-27","00:00:00",1,"",210484915
"2020-11-19","00:00:00",1,"",207970779
"2020-10-29","00:00:00",1,"",188527452
"2021-02-28","00:00:00",1,"",233255946
"2020-10-24","00:00:00",1,"",182758485
"2021-02-07","00:00:00",1,"",227564478
"2021-01-21","00:00:00",1,"",223584698
"2020-12-12","00:00:00",1,"",204226737
"2020-11-22","00:00:00",1,"",207302405
"2020-10-24","00:00:00",1,"",155160499
"2021-01-05","00:00:00",1,"",219840720
"2020-10-24","00:00:00",1,"",149393594
"2021-02-14","00:00:00",1,"",226701324
"2021-02-13","00:00:00",1,"",229512544
"2021-02-27","00:00:00",1,"",232356564
"2020-11-07","00:00:00",1,"",194114933
"2020-10-25","00:00:00",1,"",197902253
"2020-11-18","00:00:00",1,"",206673710
"2021-02-22","00:00:00",1,"",231981823
"2021-02-04","00:00:00",1,"",227117095
"2020-10-24","00:00:00",1,"",169058468
"2021-01-25","00:00:00",1,"",224876367
"2021-01-15","00:00:00",1,"",222109079
"2021-02-12","00:00:00",1,"",227950682
"2020-12-27","00:00:00",1,"",219148422
"2020-12-30","00:00:00",1,"",215478159
"2020-11-07","00:00:00",1,"",205074663
"2021-01-30","00:00:00",1,"",225584921
"2020-10-31","00:00:00",1,"",150493383
"2020-11-13","00:00:00",1,"",173840938
"2020-11-24","00:00:00",1,"",208257556
"2020-10-24","00:00:00",1,"",160748158
"2020-10-31","00:00:00",1,"",191519307
"2020-10-24","00:00:00",1,"",189234983
"2020-11-25","00:00:00",1,"",210181500
"2021-02-05","00:00:00",1,"",227273790
"2021-02-22","00:00:00",1,"",231843558
"2020-11-06","00:00:00",1,"",174500617
"2020-12-10","00:00:00",1,"",213724255
"2020-11-01","00:00:00",1,"",203725955
"2020-10-25","00:00:00",1,"",185213360
